Species,Body_mass_g,Scavenger,Vertebrates,Insects,Worms,Crustaceans,Molluscs,Fish,Seeds,Fruits,Plants,Nectar,Sap,Foraging_technique,Foraging_stratum_terr/aquatic,Foraging_stratum_betw_1_and_2,Foraging_stratum_above_2m,Foraging_stratum_air,Social_Foraging,Diurnal,Crepuscular,Nocturnal,Seasonality,Irruptive,Duration,Mean_frequency,Entropy
Melospiza_georgiana,16.1,0,0,1,0,0,0,0,1,1,0,0,0,Ground gleaner,1,0,0,0,Aggregation,1,0,0,WV,0,0.06836686,5.41901,0.7429755
Melospiza_lincolnii,16.6,0,0,1,0,0,0,0,1,1,0,0,0,Ground gleaner,1,0,0,0,Solitary,1,0,0,WV,0,0.2434639,5.460871,0.7203829
Melospiza_melodia,19.5,0,0,1,0,0,0,0,1,1,0,0,0,Ground gleaner,1,0,0,0,Solitary,1,0,0,WV,0,0.7215352,4.669354,0.786141
Melozone_fusca,44.4,0,0,1,0,0,0,0,1,1,0,0,0,Ground gleaner,1,0,0,0,Solitary,1,0,0,PR,0,1.37794039,3.927867009,0.76864594
Mergus_merganser,1232,0,0,1,0,1,1,1,0,0,0,0,0,Surface diver,1,0,0,0,Solitary,1,0,0,WV,0,0.52177982,2.158903639,0.754565715
Mimus_polyglottos,48.5,0,0,1,0,0,0,0,0,1,0,0,0,Ground gleaner,1,0,0,0,Pair,1,0,0,PR,0,0.8987588,3.507199,0.7111812
Mniotilta_varia,10.9,0,0,1,0,0,0,0,0,0,0,0,0,Bark gleaner,0,0,1,0,Solitary,1,0,0,T,0,0.5221601,6.405691,0.7935499
Molothrus_aeneus,56.9,0,0,1,0,0,0,0,1,0,0,0,0,Ground gleaner,1,0,0,0,Aggregation,1,0,0,SR,0,1.295312,6.323862,0.8128336
Molothrus_ater,38.1,0,0,1,0,0,0,0,1,0,0,0,0,Ground gleaner,1,0,0,0,Aggregation,1,0,0,SR,0,0.4191386,5.74312,0.6881675
Myiarchus_cinerascens,28.2,0,0,1,0,0,0,0,0,1,0,0,0,Air sallier,0,1,0,0,Solitary,1,0,0,SR,0,0.4309268,3.607573,0.6790033
Myioborus_pictus,9.9,0,0,1,0,0,0,0,0,0,0,0,1,Bark gleaner,0,0,1,0,Solitary,1,0,0,T,0,0.8249335,3.836181,0.7186388
Numenius_americanus,642,0,0,1,1,1,1,0,0,0,0,0,0,Prober,1,0,0,0,Aggregation,1,0,1,WV,0,2.475783618,1.742876737,0.735964185
Nycticorax_nycticorax,810,0,0,1,0,1,0,1,0,0,0,0,0,Stalker and striker,1,0,0,0,Solitary,1,0,1,PR,0,0.124858738,2.199039495,0.732555755
Oreoscoptes_montanus,44.2,0,0,1,0,0,0,0,1,1,0,0,0,Ground gleaner,1,0,0,0,Solitary,1,0,0,WV,0,0.1151666,2.634842,0.7224135
Oreothlypis_celata,9,0,0,1,0,0,0,0,0,1,0,1,0,Foliage gleaner,0,0,1,0,Solitary,1,0,0,WV,0,0.3915841,6.399935,0.7431876
Oreothlypis_ruficapilla,7.9,0,0,1,0,0,0,0,0,1,0,0,0,Foliage gleaner,0,0,1,0,Solitary,1,0,0,T,0,0.639859,6.477233,0.7508331
Oreothlypis_virginiae,8.2,0,0,1,0,0,0,0,0,0,0,0,0,Foliage gleaner,0,1,0,0,Aggregation,1,0,0,SR,0,0.1582609,6.825283,0.7584993
Oxyura_jamaicensis,588,0,0,1,1,1,1,0,1,0,0,0,0,Surface diver,1,0,0,0,Aggregation,1,0,1,PR,0,0.12725984,1.1220242,0.624728891
Pandion_haliaetus,1568,0,0,0,0,0,0,1,0,0,0,0,0,Water foot-plunger,1,0,0,0,Solitary,1,0,0,T,0,6.941055955,3.951154512,0.827739505
Parabuteo_unicinctus,998,0,1,0,0,0,0,0,0,0,0,0,0,Low patrol,1,0,0,0,Solitary,1,0,0,T,0,4.1180349,3.560745028,0.752068552
Parkesia_noveboracensis,16.3,0,0,1,0,1,1,0,0,0,0,0,0,Ground hawker,1,0,0,0,Solitary,1,0,0,T,0,0.08597894,5.237561,0.6981157
Passer_domesticus,27.4,0,0,1,0,0,0,0,1,1,0,0,0,Ground gleaner,1,0,0,0,Aggregation,1,0,0,PR,0,0.3546282,4.893971,0.7592119
Passerculus_sandwichensis,19.5,0,0,1,0,0,0,0,1,1,0,0,0,Ground gleaner,1,0,0,0,Aggregation,1,0,0,WV,0,0.0271424,6.352562,0.751541
Passerina_caerulea,27,0,0,1,0,0,0,0,1,0,0,0,0,Ground gleaner,1,0,0,0,Solitary,1,0,0,SR,0,0.092419603,5.23549964,0.745190798
Passerina_ciris,15,0,0,1,0,0,0,0,1,0,0,0,0,Ground gleaner,1,0,0,0,Bonded,1,0,0,T,0,0.03489352,5.941998,0.7489475
Pelecanus_erythrorhynchos,4970,0,0,0,0,0,0,1,0,0,0,0,0,Surface dipper,1,0,0,0,Bonded,1,0,0,WV,0,0.0542739,1.817936,0.7420845
Petrochelidon_fulva,24.2,0,0,1,0,0,0,0,0,0,0,0,0,Air screener,0,0,0,1,Aggregation,1,0,0,SR,0,4.166755,3.3265,0.815539
Petrochelidon_pyrrhonota,21.6,0,0,1,0,0,0,0,0,0,0,0,0,Air screener,0,0,0,1,Aggregation,1,0,0,SR,0,0.1858559,4.020776,0.76175
Peucaea_cassinii,18.9,0,0,1,0,0,0,0,1,0,0,0,0,Ground gleaner,1,0,0,0,Bonded,1,0,0,SR,0,0.1311317,8.746062,0.6483823
Phainopepla_nitens,22.1,0,0,1,0,0,0,0,0,1,0,0,0,Foliage gleaner,0,0,1,0,Bonded,1,0,0,PR,0,0.6640316,2.855001,0.6859996
Phalacrocorax_auritus,1831,0,0,0,0,0,0,1,0,0,0,0,0,Surface diver,1,0,0,0,Aggregation,1,0,0,PR,0,0.3224941,1.463589,0.6365216
Phalacrocorax_brasilianus,1256,0,0,0,0,0,0,1,0,0,0,0,0,Surface diver,1,0,0,0,Aggregation,1,0,0,PR,0,0.1384828,1.740357,0.7400362
Phalaenoptilus_nuttallii,49.5,0,0,1,0,0,0,0,0,0,0,0,0,Air screener,0,1,0,0,Aggregation,0,0,1,SR,0,15.09956821,2.052162165,0.736616964
Phalaropus_tricolor,68.1,0,0,1,0,0,0,0,1,0,0,0,0,Surface dipper,1,0,0,0,Bonded,1,0,0,T,0,0.1646743,2.64936,0.7735504
Pheucticus_melanocephalus,48.2,0,0,1,0,0,0,0,1,0,0,0,0,Foliage gleaner,0,0,1,0,Pair,1,0,0,T,0,2.857498,3.104638,0.7851059
Picoides_scalaris,30.3,0,0,1,0,0,0,0,0,1,0,0,0,Bark gleaner,0,1,0,0,Solitary,1,0,0,PR,0,0.8176805,5.35537,0.8057016
Pipilo_chlorurus,29.4,0,0,1,0,0,0,0,0,1,1,0,0,Ground gleaner,1,0,0,0,Aggregation,1,0,0,WV,0,0.9136986,3.981745,0.7798331
Pipilo_maculatus,39,0,0,1,0,0,0,0,0,1,1,0,0,Ground gleaner,1,0,0,0,Aggregation,1,0,0,WV,0,0.5755932,3.474519,0.7686718
Piranga_ludoviciana,28.1,0,0,1,0,0,0,0,0,0,1,0,0,Foliage gleaner,0,0,1,0,Solitary,1,0,0,T,0,0.2821668,3.654791,0.7345778
Piranga_rubra,28.2,0,0,1,0,0,0,0,0,0,1,0,0,Foliage gleaner,0,0,1,0,Solitary,1,0,0,SR,0,0.2924538,2.870204,0.740505
Plegadis_chihi,546,0,0,1,0,1,1,0,1,0,0,0,0,Prober,1,0,0,0,Aggregation,1,0,0,T,0,0.2233576,1.903693,0.7072722
Podiceps_nigricollis,374,0,0,1,0,1,1,1,0,0,0,0,0,Surface diver,1,0,0,0,Aggregation,1,0,0,WV,0,0.6168075,3.296091,0.7912546
Podilymbus_podiceps,358,0,0,1,0,1,1,1,0,0,0,0,0,Surface diver,1,0,0,0,Aggregation,1,0,0,PR,0,4.78248851,2.959542423,0.844228228
Polioptila_caerulea,5.8,0,0,1,0,0,0,0,0,0,0,0,0,Foliage gleaner,0,1,0,0,Aggregation,1,0,0,WV,0,0.2445734,6.15423,0.7919853
Polioptila_melanura,5.2,0,0,1,0,0,0,0,0,0,0,0,0,Foliage gleaner,0,1,0,0,Pair,1,0,0,PR,0,1.2240952,3.877649463,0.771125223
Pooecetes_gramineus,24.9,0,0,1,0,0,0,0,1,0,0,0,0,Ground gleaner,1,0,0,0,Aggregation,1,0,0,WV,0,3.142886,4.213038656,0.788577835
Porzana_carolina,74.8,0,0,1,0,1,1,0,1,1,0,0,0,Ground gleaner,1,0,0,0,Solitary,1,0,0,WV,0,1.273299613,2.803032941,0.729177761
Pyrocephalus_rubinus,14.4,0,0,1,0,0,0,0,0,0,0,0,0,Air sallier,0,1,0,0,Solitary,1,0,0,WV,0,0.1211024,4.851717,0.6993897
Quiscalus_mexicanus,116,0,0,1,0,0,0,0,1,1,0,0,0,Ground forager,1,0,0,0,Aggregation,1,0,0,PR,0,0.2258759,3.786723,0.7899306
Recurvirostra_americana,302,0,0,1,1,1,1,0,0,0,0,0,0,Prober,1,0,0,0,Aggregation,1,0,0,T,0,0.09019225,2.221118,0.7718956
Regulus_calendula,5.9,0,0,1,0,0,0,0,0,0,0,0,0,Foliage gleaner,0,0,1,0,Aggregation,1,0,0,WV,0,0.08270357,5.389406,0.8481459
Riparia_riparia,13.9,0,0,1,0,0,0,0,0,0,0,0,0,Air screener,0,0,0,1,Aggregation,1,0,0,T,0,0.2923631,4.321709,0.7978278
Salpinctes_obsoletus,16.5,0,0,1,0,0,0,0,0,0,0,0,0,Ground gleaner,1,0,0,0,Pair,1,0,0,PR,0,1.265583,5.517781,0.7723194
Sayornis_nigricans,17.8,0,0,1,0,0,0,0,0,0,0,0,0,Air sallier,0,1,0,0,Solitary,1,0,0,PR,0,0.4359145,4.423246,0.7383718
Sayornis_phoebe,19.7,0,0,1,0,0,0,0,0,0,0,0,0,Air sallier,0,1,0,0,Solitary,1,0,0,WV,0,0.1659332,4.652699,0.7247862
Sayornis_saya,20.9,0,0,1,0,0,0,0,0,0,0,0,0,Air sallier,0,1,0,0,Solitary,1,0,0,PR,0,0.716098,3.449685,0.697148
Selasphorus_platycercus,3.6,0,0,1,0,0,0,0,0,0,0,1,0,Hover and gleaner,0,1,0,0,Solitary,1,0,0,T,0,0.4241973,5.366023,0.6938513
Selasphorus_rufus,3.5,0,0,1,0,0,0,0,0,0,0,1,0,Hover and gleaner,0,1,0,0,Solitary,1,0,0,T,0,0.119675645,7.648206047,0.818636795
Setophaga_citrina,10.3,0,0,1,0,0,0,0,0,0,0,0,0,Foliage gleaner,0,1,0,0,Solitary,1,0,0,T,0,0.07058931,5.882362,0.727693
Setophaga_coronata,11.9,0,0,1,0,0,0,0,0,1,0,0,0,Foliage gleaner,0,0,1,0,Aggregation,1,0,0,WV,0,0.07501272,4.926385,0.8021253
Setophaga_graciae,8.1,0,0,1,0,0,0,0,0,0,0,0,0,Foliage gleaner,0,0,1,0,Solitary,1,0,0,T,0,0.070657747,6.300746,0.7605633
Setophaga_nigrescens,8.7,0,0,1,0,0,0,0,0,0,0,0,0,Foliage gleaner,0,0,1,0,Aggregation,1,0,0,T,0,0.08293756,5.951734,0.8119988
Setophaga_occidentalis,10.4,0,0,1,0,0,0,0,0,0,0,0,0,Foliage gleaner,0,0,1,0,Solitary,1,0,0,T,0,0.216626,7.02581,0.7826224
Setophaga_petechia,10,0,0,1,0,0,0,0,0,0,0,0,0,Foliage gleaner,0,0,1,0,Aggregation,1,0,0,T,0,0.08872144,3.880939,0.7425509
Setophaga_pinus,11.9,0,0,1,0,0,0,0,1,1,0,0,0,Foliage gleaner,0,0,1,0,Solitary,1,0,0,WV,0,0.02340692,3.986596,0.6086242
Setophaga_ruticilla,8.1,0,0,1,0,0,0,0,0,0,0,0,0,Foliage gleaner,0,0,1,0,Solitary,1,0,0,T,0,0.1181545,6.3992,0.7598087
Setophaga_townsendi,8.6,0,0,1,0,0,0,0,0,0,0,0,0,Foliage gleaner,0,0,1,0,Aggregation,1,0,0,T,0,0.2212586,6.481581,0.7610123
Sialia_currucoides,29.6,0,0,1,0,0,0,0,1,1,0,0,0,Foliage gleaner,0,1,0,0,Aggregation,1,0,0,WV,1,0.07643103,2.270819,0.610196
Sialia_mexicana,27.1,0,0,1,0,0,0,0,1,1,0,0,0,Foliage gleaner,0,1,0,0,Aggregation,1,0,0,WV,1,0.06932109,2.875859,0.6735162
Sialia_sialis,27.5,0,0,1,0,0,0,0,1,1,0,0,0,Foliage gleaner,0,1,0,0,Aggregation,1,0,0,WV,1,0.163715,4.296891,0.8141324
Sitta_canadensis,9.8,0,0,1,0,0,0,0,1,0,0,0,0,Bark gleaner,0,0,1,0,Aggregation,1,0,0,WV,1,0.2178133,2.968952,0.6109063
Sitta_carolinensis,21,0,0,1,0,0,0,0,1,0,0,0,0,Bark gleaner,0,0,1,0,Aggregation,1,0,0,WV,0,0.1521623,2.588245,0.6609924
Sphyrapicus_nuchalis,45.9,0,0,1,0,0,0,0,0,0,0,0,1,Bark gleaner,0,0,1,0,Solitary,1,0,0,WV,0,0.406668,4.102160429,0.813556879
Sphyrapicus_thyroideus,47.6,0,0,1,0,0,0,0,0,0,0,0,1,Bark gleaner,0,0,1,0,Solitary,1,0,0,WV,0,1.335539514,2.312841467,0.753172093
Sphyrapicus_varius,50.3,0,0,1,0,0,0,0,0,0,0,0,1,Bark gleaner,0,0,1,0,Solitary,1,0,0,WV,0,6.595051,3.213822,0.8247049
Spinus_pinus,12.7,0,0,1,0,0,0,0,1,1,0,0,0,Foliage gleaner,0,1,0,0,Aggregation,1,0,0,WV,1,0.42940194,5.37077541,0.75552926
Spinus_psaltria,9.5,0,0,1,0,0,0,0,1,1,0,0,0,Foliage gleaner,0,1,0,0,Aggregation,1,0,0,PR,0,0.677675627,5.475431575,0.745980683
Spinus_tristis,12.5,0,0,1,0,0,0,0,1,1,0,0,0,Foliage gleaner,0,1,0,0,Aggregation,1,0,0,WV,0,0.78434069,5.01077137,0.79019721
Spizella_atrogularis,11.3,0,0,1,0,0,0,0,1,1,0,0,0,Ground gleaner,1,0,0,0,Aggregation,1,0,0,WV,0,0.09053761,6.00222725,0.81336286
Spizella_breweri,10.9,0,0,1,0,0,0,0,1,1,0,0,0,Ground gleaner,1,0,0,0,Aggregation,1,0,0,WV,0,0.14134482,9.15829942,0.69313334
Spizella_pallida,11.2,0,0,1,0,0,0,0,1,1,0,0,0,Ground gleaner,1,0,0,0,Aggregation,1,0,0,T,0,0.0679696,8.20858587,0.69737015
Spizella_passerina,12.2,0,0,1,0,0,0,0,1,1,0,0,0,Ground gleaner,1,0,0,0,Aggregation,1,0,0,WV,0,0.05379505,9.02165155,0.76565217
Stelgidopteryx_serripennis,15.9,0,0,1,0,0,0,0,0,0,0,0,0,Air screener,0,0,0,1,Aggregation,1,0,0,SR,0,0.137410799,4.425209608,0.790754142
Streptopelia_decaocto,146,0,0,0,0,0,0,0,1,1,1,0,0,Ground gleaner,1,0,0,0,Solitary,1,0,0,PR,0,0.66863545,0.7831261,0.504827
Sturnella_magna,76,0,0,1,0,0,0,0,0,1,0,0,0,Ground gleaner,1,0,0,0,Aggregation,1,0,0,WV,0,0.11738424,4.19953172,0.66795602
Sturnella_neglecta,89.4,0,0,1,0,0,0,0,0,1,0,0,0,Ground gleaner,1,0,0,0,Solitary,1,0,0,PR,0,1.86732813,2.595942938,0.70011791
Sturnus_vulgaris,84.4,0,0,1,0,0,0,0,1,1,0,0,0,Ground forager,1,0,0,0,Bonded,1,0,0,PR,0,0.381882029,5.567159452,0.746681641
Tachycineta_bicolor,21.2,0,0,1,0,0,0,0,0,0,0,0,0,Air screener,0,0,0,1,Aggregation,1,0,0,T,0,0.14147925,4.38107691,0.76376928
Tachycineta_thalassina,13.9,0,0,1,0,0,0,0,0,0,0,0,0,Air screener,0,0,0,1,Aggregation,1,0,0,SR,0,0.06425143,4.5525513,0.76961059
Thryomanes_bewickii,9.9,0,0,1,0,0,0,0,0,0,0,0,0,Foliage gleaner,0,1,0,0,Aggregation,1,0,0,WV,0,0.76759969,3.59223615,0.73617661
Toxostoma_crissale,62.7,0,0,1,0,0,0,0,1,1,0,0,0,Ground gleaner,1,0,0,0,Aggregation,1,0,0,PR,0,2.501455765,3.336480087,0.812714308
Toxostoma_curvirostre,85.2,0,0,1,0,0,0,0,0,1,1,0,0,Ground gleaner,1,0,0,0,Aggregation,1,0,0,PR,0,3.15903647,2.736661577,0.780742459
Tringa_flavipes,77.5,0,0,1,1,1,1,1,0,0,0,0,0,Prober,1,0,0,0,Aggregation,1,0,1,T,0,4.09203591,3.718216446,0.831370743
Tringa_melanoleuca,171,0,0,1,1,1,1,1,0,0,0,0,0,Prober,1,0,0,0,Aggregation,1,0,1,WV,0,0.459312717,3.601968437,0.786655172
Tringa_solitaria,48.4,0,0,1,1,1,1,0,0,0,0,0,0,Prober,1,0,0,0,Solitary,1,0,1,T,0,1.69146539,3.286016545,0.82403305
Troglodytes_aedon,11.1,0,0,1,0,0,0,0,0,0,0,0,0,Foliage gleaner,0,1,0,0,Aggregation,1,0,0,WV,0,0.286628651,4.730053137,0.765833227
Turdus_migratorius,78.5,0,0,1,0,0,0,0,0,1,0,0,0,Ground gleaner,1,0,0,0,Bonded,1,0,0,PR,0,4.794713905,2.887551277,0.73743369
Tyrannus_melancholicus,37.4,0,0,1,0,0,0,0,0,1,0,0,0,Air sallier,0,0,1,0,Solitary,1,0,0,T,0,0.877404669,4.61024699,0.72803843
Tyrannus_verticalis,39.6,0,0,1,0,0,0,0,0,1,0,0,0,Air sallier,0,0,1,0,Solitary,1,0,0,SR,0,0.07780643,3.656831266,0.74310637
Tyto_alba,370,0,0,1,0,0,0,0,0,0,0,0,0,Low patrol,1,0,0,0,Solitary,0,0,1,PR,0,0.040452823,5.138075828,0.816129882
Vireo_bellii,8.5,0,0,1,0,0,0,0,0,0,1,0,0,Foliage gleaner,0,1,0,0,Aggregation,1,0,0,SR,0,1.145743025,4.448284934,0.795310388
Vireo_cassinii,14.7,0,0,1,0,0,0,0,0,0,1,0,0,Foliage gleaner,0,0,1,0,Solitary,1,0,0,T,0,0.652544767,4.560602866,0.792316126
Vireo_gilvus,11.9,0,0,1,0,0,0,0,0,0,1,0,0,Foliage gleaner,0,0,1,0,Solitary,1,0,0,T,0,0.882555122,4.549379402,0.76374806
Vireo_plumbeus,16.4,0,0,1,0,0,0,0,0,0,1,0,0,Foliage gleaner,0,0,1,0,Solitary,1,0,0,T,0,2.774767671,4.523605751,0.822531233
Vireo_solitarius,15.3,0,0,1,0,0,0,0,0,0,1,0,0,Foliage gleaner,0,0,1,0,Solitary,1,0,0,WV,0,0.364274954,3.809639207,0.78630063
Xanthocephalus_xanthocephalus,49.3,0,0,1,0,0,0,0,1,0,0,0,0,Ground gleaner,1,0,0,0,Aggregation,1,0,0,WV,0,0.17312685,2.492710694,0.737427859
Zenaida_asiatica,153,0,0,0,0,0,0,0,1,1,0,0,0,Ground gleaner,1,0,0,0,Aggregation,1,0,0,PR,0,0.953513667,1.04373874,0.577781093
Zenaida_macroura,115,0,0,0,0,0,0,0,1,1,0,0,0,Ground gleaner,1,0,0,0,Aggregation,1,0,0,PR,0,0.857701323,0.821478116,0.45085763
Zonotrichia_leucophrys,28.4,0,0,1,0,0,0,0,1,1,0,0,0,Ground gleaner,1,0,0,0,Aggregation,1,0,0,WV,0,0.047836096,5.150253631,0.667561571
